"","RMSE","Rsquared","MAE_dollars","model"
"1",28797.5589866747,0.855450500094758,19092.5935590151,"lm"
"2",24768.1320710159,0.890065645549778,16887.630513984,"svm"
"3",30546.6510891883,0.854373274460442,20007.6834923161,"ridge"
"4",29519.2709438585,0.857801500732132,19905.5486807724,"lasso"
